date,ticker,open,close,high,low,volume,market_cap_b
2022-01-03,AAPL,165.97,166.92,170.27,166.77,12907186,1831.3
2022-01-04,AAPL,171.35,171.61,173.91,167.77,42131069,1690.8
2022-01-05,AAPL,168.46,168.32,169.86,164.19,8865967,2043.6
2022-01-06,AAPL,165.84,166.86,170.31,163.8,23709866,1617.1
2022-01-07,AAPL,168.66,169.1,169.61,165.6,34868046,1971.4
2022-01-10,AAPL,168.75,169.47,171.81,165.37,14466743,886.4
2022-01-11,AAPL,171.47,170.12,171.19,166.17,17582064,1067.3
2022-01-12,AAPL,167.38,166.91,167.29,162.58,34014052,1401.5
2022-01-13,AAPL,167.42,166.73,169.51,163.0,34287257,1027.5
2022-01-14,AAPL,170.72,170.59,172.83,166.85,32180224,2339.4
2022-01-17,AAPL,166.89,165.24,168.25,162.29,15134319,1251.0
2022-01-18,AAPL,162.93,163.0,164.79,162.58,21573296,1423.7
2022-01-19,AAPL,156.87,157.23,161.18,155.59,32637598,1311.5
2022-01-20,AAPL,159.99,158.98,159.16,158.36,28073745,1428.0
2022-01-21,AAPL,162.96,162.97,166.24,158.15,44219833,1542.9
2022-01-24,AAPL,161.91,162.42,163.1,159.69,27334524,1467.7
2022-01-25,AAPL,159.81,159.24,161.25,159.05,31967488,2082.0
2022-01-26,AAPL,154.99,156.21,158.07,153.1,30626707,2126.1
2022-01-27,AAPL,154.02,155.33,155.67,154.63,14578253,1815.4
2022-01-28,AAPL,154.57,154.44,158.3,150.39,10840233,1632.2
2022-01-31,AAPL,158.74,157.33,159.29,154.15,32301019,2250.5
2022-02-01,AAPL,156.33,155.29,159.92,150.73,10078616,1722.9
2022-02-02,AAPL,157.7,156.69,158.03,153.12,40413910,871.8
2022-02-03,AAPL,155.38,155.78,158.15,153.73,37787682,1331.7
2022-02-04,AAPL,153.87,153.53,156.22,151.44,33821748,1166.0
2022-02-07,AAPL,151.29,152.56,153.11,149.01,27508907,2045.0
2022-02-08,AAPL,154.26,153.64,157.27,150.65,23209418,1373.0
2022-02-09,AAPL,155.56,156.52,156.81,154.6,49514750,1043.7
2022-02-10,AAPL,154.37,155.78,159.42,152.29,42333971,1875.5
2022-02-11,AAPL,153.48,152.12,153.99,150.58,25918465,1719.9
2022-02-14,AAPL,155.08,155.24,156.12,152.95,28786289,2034.6
2022-02-15,AAPL,153.24,152.52,155.56,148.46,37427733,1525.7
2022-02-16,AAPL,154.57,153.37,157.6,149.02,41928870,824.6
2022-02-17,AAPL,152.93,153.34,155.83,149.42,38584121,779.5
2022-02-18,AAPL,151.88,152.9,155.56,151.59,46248939,1843.2
2022-02-21,AAPL,151.98,151.46,153.25,146.92,10407166,1566.9
2022-02-22,AAPL,153.93,153.4,155.32,152.16,28483803,880.8
2022-02-23,AAPL,141.95,142.83,146.43,141.65,45264289,882.1
2022-02-24,AAPL,147.59,146.16,147.08,141.83,49884032,1141.6
2022-02-25,AAPL,144.04,143.56,144.32,141.75,45681574,1177.5
2022-02-28,AAPL,145.27,144.78,145.6,143.15,20140265,1029.7
2022-03-01,AAPL,145.31,145.86,146.64,145.43,22873409,1087.0
2022-03-02,AAPL,149.51,149.67,151.11,148.52,48704896,1403.9
2022-03-03,AAPL,151.39,150.31,152.86,146.51,36078023,1523.3
2022-03-04,AAPL,148.32,147.88,151.83,145.4,45552993,1849.5
